Location,Count
a4,74225
c7,73418
b2,220257
g2,219471
d3,482219
h4,118040
h3,95929
d1,47597
b1,32708
c8,61538
e8,38230
g3,129069
f7,85305
b3,156655
a2,49209
d6,334365
f1,65723
e1,34964
c5,304327
c1,57376
e6,320208
c6,238547
g6,128903
g8,15065
d4,233674
h7,39520
a8,30882
a7,36074
g7,284909
c4,499827
a1,26334
c3,220484
f5,282206
d7,265780
b4,242824
d5,246792
e4,247512
c2,101824
e3,452799
g1,12706
h1,14003
b6,107901
a5,57801
e2,401265
e7,420877
h2,34993
a3,89873
h8,18484
g4,314480
h6,144780
f2,78393
f6,306435
h5,104827
g5,449128
f4,355703
d2,283795
f8,76395
f3,297344
a6,116387
d8,52992
e5,254989
b8,23584
b7,261290
b5,315234
