Opening,1500-2000,2000-2500,Above2500,Below1500,Total
Van't Kruijs Opening,124229,17613,107,94699,236648
Scandinavian Defense: Mieses-Kotroc Variation,119224,8510,77,78840,206651
Modern Defense,125546,18637,106,48444,192733
Horwitz Defense,104600,12777,50,46594,164021
French Defense: Knight Variation,98366,6180,23,48033,152602
Sicilian Defense,91746,8358,46,51448,151598
Scandinavian Defense,65180,8406,76,77119,150781
Caro-Kann Defense,103521,13677,72,33220,150490
Owen Defense,88808,5428,36,37550,131822
Sicilian Defense: Bowdler Attack,87291,2216,2,41157,130666
